date,open,high,low,close,volume
3/12/2021,309.598,313.9088,307.1625,311.1762,69315601
3/15/2021,311.5018,314.6682,309.8298,314.5005,43123176
3/16/2021,316.7298,319.7976,314.7668,316.2267,54925896
3/17/2021,313.1392,319.4523,311.3932,317.5288,78258729
3/18/2021,312.5671,313.5635,307.3391,307.8027,82942269
3/19/2021,307.635,310.4561,305.4551,308.8877,78446204
3/22/2021,311.3148,316.7765,311.3148,314.6728,56194755
3/23/2021,315.7789,317.1221,312.4654,313.3,53455411
3/24/2021,314.6925,314.732,307.8679,308.0161,63820440
3/25/2021,306.1376,309.0185,303.5913,307.4827,78729008
3/26/2021,307.2655,312.421,305.8433,312.095,63519634
3/29/2021,311.5518,313.0728,308.6087,312.0061,54607963
3/30/2021,310.0111,311.0185,307.6901,310.4358,44635676
3/31/2021,312.2531,316.7765,311.9074,315.1864,55032535
4/1/2021,319.0777,320.6974,318.8209,320.5591,55685602
4/5/2021,323.0875,327.7393,320.6258,326.9591,42172475
4/6/2021,326.643,328.7171,325.9418,326.7319,33537210
4/7/2021,326.248,328.3714,325.2998,327.522,32046381
4/8/2021,330.4257,331.1269,329.6157,330.9393,29940799
4/9/2021,329.5566,333.1516,328.8059,332.9442,36664892
